wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,1,0,10,18,3,1,9,1,1.1000000000000001,106,0.0,0,0.0,0.44444444399999999,0,0,32.666666669999998,1,0.66669999999999996,0
5,2,0,4,13,0,1,4,4,0.625,76,1.0,1,0.69999999999999996,0.5,0,0,13.4,1,0.59999999999999998,0
1,2,0,1,3,0,0,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
8,1,9,13,20,12,9,4,8,0.80000000000000004,101,0.20000000000000001,1,0.0,0.40625,0,0,11.0,1,0.875,0
9,3,0,5,26,16,0,5,7,0.75,185,1.0,0,0.80000000000000004,0.38888888899999996,0,0,19.0,2,1.0,1
3,2,5,7,4,1,6,1,2,0.5,16,1.0,0,0.75,0.55555555600000006,0,0,4.0,1,0.66669999999999996,0
20,1,0,4,40,130,0,4,18,0.73684210500000002,345,1.0,1,0.0,0.28421052600000002,0,0,15.9,3,1.1499999999999999,1
13,1,0,7,28,20,2,5,12,0.80952380999999995,183,1.0,2,0.0,0.29999999999999999,0,0,12.53846154,7,1.3846000000000001,0
9,1,0,5,19,8,4,1,9,0.53125,119,1.0,0,0.0,0.51851851900000001,0,0,11.777777779999999,3,1.4443999999999999,0
7,5,0,9,25,0,6,3,7,0.66666666699999999,255,0.0,0,0.8636363640000001,0.34285714299999998,2,5,34.857142860000003,9,3.1429,0
9,6,0,5,17,26,0,5,6,0.83333333300000001,71,0.0,0,0.94936708900000011,0.33333333300000001,1,4,6.5555555559999998,3,1.1111,0
3,2,0,19,10,3,14,5,3,2.0,38,0.0,0,0.92307692299999999,0.58333333300000001,0,0,11.66666667,1,0.33329999999999999,0
1,1,0,10,1,0,8,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
9,1,0,3,12,20,1,2,8,0.8125,54,1.0,3,0.0,0.375,0,0,4.5555555559999998,1,0.77780000000000005,0
19,4,0,7,40,129,0,7,16,0.93650793700000001,252,0.5,0,0.72727272700000001,0.38157894700000006,2,3,11.52631579,6,1.3158000000000001,0
10,4,2,13,26,0,7,7,9,0.111111111,110,1.0,1,0.79545454500000001,0.26000000000000001,1,1,9.9000000000000004,3,1.6000000000000001,0
3,2,0,2,5,0,1,1,3,0.0,34,1.0,1,0.81818181800000001,0.5,1,2,10.0,1,0.66669999999999996,0
20,1,0,7,79,136,5,5,10,0.89750692499999996,835,1.0,1,0.0,0.19375000000000001,0,0,39.799999999999997,10,1.95,0
6,1,0,8,6,15,7,1,6,2.0,6,0.0,0,0.0,0.44444444399999999,0,0,0.0,1,1.0,0
3,4,0,5,11,1,1,4,1,0.5,41,1.0,1,0.97142857099999991,0.75,1,2,12.33333333,3,1.0,1
5,2,0,7,14,6,0,7,4,0.625,70,1.0,0,0.69230769199999997,0.80000000000000004,0,0,12.6,4,1.3999999999999999,0
1,1,0,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
11,2,0,7,26,0,5,2,11,0.57999999999999996,181,1.0,0,0.52941176499999998,0.409090909,0,0,15.0,1,0.72729999999999995,0
3,4,0,5,15,3,0,5,2,2.0,51,0.0,0,0.97849462400000009,0.66666666699999999,1,1,16.0,2,1.0,0
3,2,0,5,7,1,1,4,3,0.5,29,1.0,0,0.81818181800000001,0.66666666699999999,0,0,8.3333333329999988,1,0.66669999999999996,0
16,3,0,15,65,76,0,15,13,0.92000000000000004,483,1.0,0,0.72549019599999998,0.311111111,0,0,28.25,9,1.5625,1
4,4,8,12,5,0,8,4,3,0.33333333300000001,18,1.0,1,0.92105263199999998,0.4375,0,0,3.25,1,0.75,0
15,1,0,11,65,75,0,11,11,0.69387755099999993,443,1.0,0,0.0,0.29523809499999998,0,0,28.06666667,5,1.6000000000000001,0
