wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,3,0,7,10,0,1,7,4,0.25,43,1.0,1,0.92105263199999998,0.35999999999999999,1,2,7.4000000000000004,1,0.59999999999999998,0
4,1,0,3,5,4,1,2,3,0.66666666699999999,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,0
20,4,0,26,95,144,2,26,13,0.84210526299999999,433,1.0,0,0.72727272700000001,0.19736842100000002,4,5,20.300000000000001,3,1.0,0
3,2,0,8,22,3,2,6,2,2.0,165,0.0,0,0.75,0.66666666699999999,1,3,54.0,15,5.3333000000000004,1
8,1,0,25,20,22,22,3,6,0.571428571,176,1.0,0,0.0,0.25,0,0,20.875,1,0.75,1
3,1,0,6,3,3,5,2,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
1,1,0,0,2,0,0,0,0,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
6,1,0,9,17,15,2,7,6,2.0,46,0.0,0,0.0,0.33333333300000001,0,0,6.6666666670000003,4,1.3332999999999999,1
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
4,1,0,7,8,6,0,7,3,2.0,22,0.0,0,0.0,0.375,0,0,4.5,1,0.75,0
10,1,0,11,20,45,1,10,9,2.0,52,0.0,0,0.0,0.14999999999999999,0,0,4.2000000000000002,1,0.90000000000000002,1
10,3,0,10,33,25,3,10,7,0.222222222,165,1.0,1,0.83333333300000001,0.29999999999999999,2,3,15.4,3,0.90000000000000002,0
23,2,0,13,49,201,2,13,21,0.91818181799999998,266,1.0,0,0.54545454500000001,0.17676767699999998,1,1,10.13043478,1,0.86960000000000004,0
8,4,0,18,33,22,4,18,7,0.14285714300000002,141,1.0,0,0.87234042599999995,0.3125,0,0,16.5,1,0.75,0
9,3,0,3,15,6,0,3,8,0.4375,82,1.0,2,0.66666666699999999,0.41666666700000005,1,2,7.8888888889999995,3,0.88890000000000002,1
3,1,2,8,16,3,2,6,2,2.0,96,0.0,0,0.0,0.53333333299999997,0,0,31.0,3,1.6667000000000001,0
10,4,0,6,27,5,1,5,8,0.52777777799999992,168,1.0,2,0.75862068999999999,0.25,2,2,15.4,3,1.1000000000000001,1
8,2,0,7,33,26,0,7,1,0.571428571,415,1.0,0,0.58823529399999996,0.390625,1,1,50.75,8,3.625,0
4,1,0,17,8,6,11,6,4,2.0,53,0.0,0,0.0,0.45000000000000001,0,0,12.25,5,2.0,0
2,1,0,3,5,1,3,2,2,2.0,17,0.0,0,0.0,0.66666666699999999,0,0,7.5,2,1.0,0
14,1,0,6,18,61,2,5,14,0.83076923099999989,81,1.0,5,0.0,0.297619048,0,0,4.4285714289999998,1,0.92859999999999998,0
16,1,0,8,36,62,2,6,11,0.71999999999999997,184,1.0,3,0.0,0.22916666699999999,0,0,10.1875,4,1.3125,0
4,4,17,66,8,6,66,0,4,1.3333333329999999,21,1.0,0,1.0,0.66666666699999999,0,0,4.0,0,0.0,0
6,1,0,4,10,1,2,2,6,0.59999999999999998,50,1.0,1,0.0,0.5,0,0,7.0,2,1.1667000000000001,0
3,1,0,3,20,3,1,2,3,2.0,127,0.0,0,0.0,0.66666666699999999,0,0,41.333333330000002,13,4.6666999999999996,0
11,2,0,11,17,25,3,11,8,0.76666666700000008,73,1.0,0,0.75,0.25,0,0,5.3636363639999995,1,0.72729999999999995,1
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,3,0,2,4,1,1,1,3,0.5,15,1.0,0,0.81818181800000001,0.66666666699999999,0,0,3.6666666669999999,1,0.66669999999999996,1
3,2,0,6,4,3,2,4,3,2.0,10,0.0,0,0.66666666699999999,0.55555555600000006,0,0,2.3333333330000001,1,0.66669999999999996,1
5,1,0,6,15,10,3,4,4,2.0,60,0.0,0,0.0,0.45000000000000001,0,0,11.0,2,1.6000000000000001,0
33,1,0,17,33,528,11,6,33,2.0,33,0.0,0,0.0,0.38720538700000001,0,0,0.0,1,1.0,1
3,1,0,5,3,3,2,4,3,2.0,3,0.0,0,0.0,0.77777777799999992,0,0,0.0,1,1.0,0
7,1,0,32,61,0,3,32,3,0.63333333299999994,204,1.0,2,0.0,0.41666666700000005,0,0,27.428571430000002,1,0.71430000000000005,0
8,2,0,13,33,0,1,12,3,0.46428571399999996,294,1.0,2,0.69999999999999996,0.37142857100000004,1,1,35.25,2,0.875,1
3,1,0,5,7,3,0,5,3,2.0,19,0.0,0,0.0,0.53333333299999997,0,0,5.3333333329999997,1,0.66669999999999996,0
11,3,0,14,63,7,1,14,5,0.34999999999999998,416,1.0,1,0.69999999999999996,0.25,0,0,36.636363639999999,11,1.8182,0
2,4,0,5,7,1,2,3,1,2.0,24,0.0,0,0.95652173900000004,0.66666666699999999,1,1,11.0,1,0.5,1
1,1,0,9,1,0,4,5,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,1,0,4,10,0,1,3,4,0.0,39,1.0,0,0.0,0.58333333300000001,0,0,8.5,1,0.75,1
12,3,13,22,24,30,15,8,10,0.5,114,1.0,1,0.95652173900000004,0.226190476,1,3,8.3333333329999988,2,0.83330000000000004,0
14,3,0,21,43,59,9,13,13,0.64102564100000003,208,1.0,1,0.93617021299999992,0.26153846199999997,1,3,13.64285714,3,1.1429,0
4,4,8,13,10,0,11,2,3,0.83333333300000001,39,1.0,1,0.89473684200000003,0.625,0,0,8.25,1,0.5,1
3,4,0,8,15,3,0,8,1,2.0,49,0.0,0,0.94999999999999996,0.66666666699999999,2,2,15.33333333,1,0.66669999999999996,0
1,1,0,7,1,0,7,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
2,1,1,3,10,0,1,2,1,0.0,44,1.0,0,0.85714285700000004,0.75,1,1,20.0,2,1.0,0
6,0,0,21,54,9,2,19,3,0.40000000000000002,309,1.0,0,0.0,0.45714285700000001,0,0,50.333333330000002,4,1.6667000000000001,0
1,1,0,2,3,0,1,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
7,2,0,8,8,15,2,8,7,0.72222222200000008,45,1.0,3,0.84615384599999999,0.35714285700000004,1,20,5.0,1,0.85709999999999997,0
3,1,0,9,18,0,2,7,2,0.5,61,1.0,0,0.0,0.66666666699999999,0,0,18.666666670000001,1,0.33329999999999999,0
15,1,1,15,29,45,4,11,12,0.71428571400000007,171,1.0,5,0.0,0.34999999999999998,0,0,9.9333333330000002,3,1.2,0
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,3,0,9,9,4,2,9,2,0.75,36,1.0,1,0.875,0.29999999999999999,0,0,5.5999999999999996,1,0.59999999999999998,0
4,1,0,7,17,6,1,6,4,2.0,39,0.0,0,0.0,0.625,0,0,8.75,1,0.75,0
5,3,0,10,18,8,0,10,3,0.25,62,1.0,1,0.89743589700000004,0.40000000000000002,1,3,11.199999999999999,1,0.80000000000000004,0
3,1,0,6,8,3,2,4,2,2.0,31,0.0,0,0.0,0.33333333300000001,0,0,9.3333333329999988,1,0.66669999999999996,0
14,4,0,11,37,73,3,9,13,0.63461538500000003,236,1.0,1,0.93229166699999999,0.257142857,1,16,15.57142857,6,1.5,0
27,2,6,26,61,105,12,14,22,0.66666666699999999,265,1.0,1,0.53703703700000005,0.11375661400000001,1,3,8.7037037040000005,4,1.0741000000000001,1
7,2,2,7,10,15,2,5,4,0.33333333300000001,44,1.0,0,0.81481481499999997,0.28571428600000004,0,0,5.1428571430000005,3,1.0,0
3,3,0,8,9,0,2,8,2,0.5,44,1.0,3,0.91304347799999996,0.40000000000000002,0,0,12.66666667,2,1.0,0
4,3,0,1,6,0,0,1,3,0.0,21,1.0,0,0.92105263199999998,0.625,2,2,4.0,1,0.75,0
50,1,0,8,84,1011,5,4,48,0.94764862500000002,726,0.869565217,0,0.0,0.1825,0,0,13.06,9,1.5,0
1,1,0,14,1,0,13,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
3,1,0,4,9,1,1,3,3,0.0,47,1.0,0,0.0,0.5,0,0,14.33333333,2,1.0,0
6,4,0,5,10,15,1,5,5,1.0,43,1.0,0,0.95081967200000006,0.44444444399999999,0,0,6.0,1,0.5,0
3,2,0,1,5,3,0,1,3,2.0,12,0.0,0,0.95652173900000004,0.66666666699999999,1,2,3.0,1,0.33329999999999999,0
1,1,0,7,1,0,5,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
20,1,0,20,98,178,15,5,12,0.63157894700000006,880,1.0,0,0.0,0.27631578899999998,0,0,42.950000000000003,15,2.8500000000000001,0
2,1,0,6,7,1,2,4,1,2.0,21,0.0,0,0.0,0.5,0,0,9.5,1,0.5,0
2,5,0,4,7,0,2,2,2,0.0,25,1.0,1,0.94444444400000005,0.66666666699999999,0,0,11.0,1,0.5,1
2,1,0,38,2,1,37,1,2,2.0,2,0.0,0,0.0,0.875,0,0,0.0,1,1.0,0
4,1,0,4,11,0,1,3,4,0.16666666699999999,67,1.0,0,0.0,0.5,0,0,15.25,2,1.0,0
4,1,0,6,4,6,5,2,4,1.3333333329999999,5,0.0,0,0.0,0.5625,0,0,0.0,1,1.0,0
2,1,0,4,4,1,2,2,2,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,0
2,5,1,9,9,1,2,8,1,2.0,26,0.0,0,0.97222222200000008,0.66666666699999999,1,1,12.0,1,0.5,0
21,2,1,15,52,142,1,14,12,0.82857142900000003,292,1.0,1,0.33333333300000001,0.20000000000000001,1,2,12.57142857,3,1.0,0
2,3,0,7,6,1,0,7,1,2.0,19,0.0,0,0.97222222200000008,0.66666666699999999,1,1,8.5,1,0.5,0
2,1,0,4,4,1,1,3,2,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,0.5,0
8,1,0,7,15,22,3,4,4,0.61904761899999994,100,1.0,1,0.0,0.35416666700000005,0,0,11.125,2,0.875,0
3,3,0,10,25,0,1,10,2,0.0,136,1.0,0,0.94594594599999993,0.5,1,1,44.0,2,1.0,0
4,2,0,7,6,0,2,5,4,0.0,30,1.0,0,0.94999999999999996,0.45000000000000001,1,1,6.25,1,0.5,0
6,2,0,4,15,7,0,4,4,0.29999999999999999,71,1.0,0,0.77777777799999992,0.375,1,1,10.5,2,1.0,0
7,1,2,7,23,21,2,5,3,2.0,133,0.0,0,0.0,0.66666666699999999,0,0,18.0,5,1.8571,0
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,10,22,1,1,9,2,0.5,141,1.0,1,0.0,0.66666666699999999,0,0,45.333333330000002,6,2.0,0
5,3,0,5,7,0,1,4,4,0.0,34,1.0,0,0.75,0.53333333299999997,1,1,5.5999999999999996,1,0.59999999999999998,1
16,1,1,11,43,112,7,4,14,0.59999999999999998,275,1.0,0,0.0,0.48749999999999999,0,0,16.0625,1,0.875,1
1,1,0,0,2,0,0,0,0,2.0,12,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,16,1,0,15,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
26,3,0,14,61,235,4,11,23,0.71200000000000008,303,1.0,2,0.88,0.18803418800000002,1,3,10.46153846,4,1.1922999999999999,0
3,2,0,1,5,3,0,1,3,2.0,12,0.0,0,0.95652173900000004,0.66666666699999999,1,2,3.0,1,0.33329999999999999,0
6,3,0,16,31,7,2,16,3,0.73333333299999992,108,1.0,1,0.83999999999999997,0.40000000000000002,1,1,16.5,3,1.0,0
10,4,0,7,17,13,1,6,10,0.55555555600000006,82,1.0,1,0.96236559099999996,0.375,1,1,7.0,2,0.80000000000000004,0
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
