wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,9,16,1,1,9,2,2.0,113,0.0,0,0.93333333299999999,0.58333333300000001,0,0,55.5,9,4.5,0
4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.85714285700000004,0.34999999999999998,2,2,18.5,1,0.75,0
18,1,0,16,55,0,11,8,13,0.64705882400000003,687,1.0,0,0.0,0.42647058799999998,0,0,36.888888889999997,12,2.5,1
6,6,0,4,36,1,1,4,1,0.88749999999999996,464,0.6875,0,0.99258160200000001,0.5,3,5,73.666666669999998,7,2.1667000000000001,0
4,1,0,26,29,6,25,1,3,2.0,213,0.0,0,0.0,0.29166666699999999,0,0,52.25,15,4.75,0
5,2,2,22,6,10,17,5,5,2.0,26,0.0,0,0.63636363600000001,0.90000000000000002,0,0,4.2000000000000002,1,0.80000000000000004,0
5,1,1,14,13,10,4,10,5,1.0,34,1.0,1,0.0,0.29230769200000001,0,0,5.5999999999999996,1,0.80000000000000004,0
51,4,0,22,125,1041,10,17,41,0.948333333,1243,0.83333333300000001,6,0.92816091999999994,0.10049019599999999,3,20,22.666666670000001,30,2.1568999999999998,0
2,2,0,11,11,1,5,6,1,2.0,53,0.0,0,0.94444444400000005,0.625,0,0,25.5,1,0.5,0
89,2,0,141,269,3550,119,43,66,0.96122994700000008,2699,0.58823529399999996,2,0.57073170699999998,0.103620474,1,10,28.943820219999999,35,3.2134999999999998,0
2,2,0,7,7,1,1,6,1,2.0,32,0.0,0,0.94444444400000005,0.625,1,1,15.0,1,0.5,0
4,1,0,2,15,0,1,1,3,0.33333333300000001,54,1.0,0,0.0,0.75,0,0,12.25,4,1.5,0
9,1,3,16,14,28,16,2,8,0.91666666699999999,50,0.33333333300000001,1,0.0,0.29629629600000001,1,1,4.2222222220000001,3,1.1111,0
11,4,0,0,26,55,0,0,11,1.1000000000000001,173,1.0,0,0.88607594900000008,0.25757575799999999,1,1,14.636363640000001,4,1.4544999999999999,0
7,1,0,8,15,1,4,4,7,0.41666666700000005,62,1.0,0,0.0,0.52380952400000003,0,0,7.5714285710000002,3,1.2857000000000001,0
8,1,0,6,8,28,6,0,8,2.0,8,0.0,0,0.0,0.32500000000000001,0,0,0.0,1,1.0,0
4,1,0,4,9,0,4,0,3,0.55555555600000006,49,1.0,0,0.0,0.55555555600000006,0,0,10.5,2,0.75,0
9,2,4,16,56,24,6,11,3,1.0625,601,0.29999999999999999,3,0.428571429,0.174603175,0,0,63.555555560000002,1,0.88890000000000002,0
18,2,0,6,36,153,1,5,18,1.0588235290000001,84,0.0,0,0.5,0.26851851900000001,1,5,3.611111111,1,0.94440000000000002,0
3,1,0,7,3,3,5,3,3,2.0,3,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
22,1,0,34,114,219,1,33,6,0.962406015,2003,0.0,5,0.0,0.159090909,0,0,89.181818179999993,18,5.4545000000000003,0
5,1,0,7,5,10,7,1,5,2.0,5,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,1,0,3,12,0,1,2,4,0.0,37,1.0,0,0.0,0.5,0,0,8.0,1,0.75,0
4,2,0,4,6,2,1,3,4,0.66666666699999999,26,1.0,0,0.5,0.4375,0,0,5.0,1,0.75,0
8,1,0,16,17,22,16,0,4,1.0,160,0.0,0,0.0,0.5,0,0,18.5,8,2.125,0
1,1,0,12,2,0,10,2,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,0
5,1,1,3,6,10,1,2,5,2.0,12,0.0,0,0.0,0.73333333299999992,0,0,1.3999999999999999,1,0.80000000000000004,0
5,2,0,4,25,2,1,3,4,0.41666666700000005,301,1.0,0,0.25,0.44,0,0,58.600000000000001,28,6.4000000000000004,0
43,1,4,52,116,805,40,23,35,0.97751322799999996,962,0.27777777800000003,0,0.0,0.21587301600000003,0,0,20.953488369999999,7,1.4883999999999999,0
2,2,0,1,4,1,0,1,1,2.0,14,0.0,0,0.80000000000000004,0.66666666699999999,1,1,6.0,1,0.5,0
3,1,0,4,4,3,4,0,3,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
4,1,0,3,22,6,2,2,2,2.0,105,0.0,0,0.0,0.66666666699999999,0,0,25.25,4,2.0,0
17,1,0,5,27,10,1,4,15,0.6796875,709,1.0,1,0.0,0.38823529400000001,0,0,40.235294119999999,17,3.5293999999999999,0
6,1,0,3,20,0,3,3,4,0.59999999999999998,120,0.66666666699999999,1,0.0,0.41666666700000005,0,0,18.5,3,1.6667000000000001,0
75,1,2,58,156,2419,46,20,49,0.91248391200000001,1888,0.66666666699999999,5,0.0,0.106821107,0,0,23.893333330000001,6,1.72,0
5,7,0,11,57,0,2,9,2,0.0,438,1.0,1,0.99506172799999992,0.44,4,10,86.400000000000006,21,8.4000000000000004,0
59,1,0,73,163,1389,60,23,47,0.80086206900000001,1844,0.25,5,0.0,0.117647059,0,0,29.915254239999999,25,1.4915,0
7,3,0,16,73,1,1,16,2,2.0,828,0.0,0,0.69999999999999996,0.23809523800000001,1,1,117.2857143,6,1.5713999999999999,0
4,3,0,10,43,4,1,10,2,2.0,405,0.0,0,0.82352941200000007,0.375,1,1,100.25,26,7.75,0
13,1,0,2,13,78,2,0,13,2.0,13,0.0,0,0.0,0.43076923100000003,0,0,0.0,1,1.0,0
